,combination,Ag,Al,As,Au,Co,Cr,Cu,Fe,Hf,Ir,Mn,Mo,Nb,Ni,Os,Pd,Pt,Re,Rh,Ru,Si,Ta,Tc,Ti,V,W,Zr,Label,set_name,length
1715,HfNbTaTiZr,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,High,Hf|Nb|Ta|Ti|Zr,5
1716,HfNbTaVZr,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,High,Hf|Nb|Ta|V|Zr,5
1717,HfNbTiVW,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,High,Hf|Nb|Ti|V|W,5
1718,HfNbTiWZr,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,High,Hf|Nb|Ti|W|Zr,5
1719,HfTaTiVW,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,High,Hf|Ta|Ti|V|W,5
1720,HfTaTiWZr,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,High,Hf|Ta|Ti|W|Zr,5
1721,HfTiVWZr,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,Low,Hf|Ti|V|W|Zr,5
1722,MoNbTaTiV,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,High,Mo|Nb|Ta|Ti|V,5
1723,MoNbTaTiZr,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,High,Mo|Nb|Ta|Ti|Zr,5
1724,MoNbTaVZr,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,Low,Mo|Nb|Ta|V|Zr,5
1725,MoNbTiVW,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,High,Mo|Nb|Ti|V|W,5
1726,MoNbTiWZr,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,High,Mo|Nb|Ti|W|Zr,5
1727,MoTaTiVW,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,High,Mo|Ta|Ti|V|W,5
1728,MoTaTiWZr,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,High,Mo|Ta|Ti|W|Zr,5
1729,MoTiVWZr,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,Low,Mo|Ti|V|W|Zr,5
1730,NbTaTiVW,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,High,Nb|Ta|Ti|V|W,5
1731,NbTaTiWZr,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,High,Nb|Ta|Ti|W|Zr,5
1732,NbTiVWZr,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,High,Nb|Ti|V|W|Zr,5
1733,CoCrFeMnNi,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,High,Co|Cr|Fe|Mn|Ni,5
1734,CrHfMoNbTi,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,High,Cr|Hf|Mo|Nb|Ti,5
1735,CrHfMoNbW,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,High,Cr|Hf|Mo|Nb|W,5
1736,CrHfMoTaTi,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,High,Cr|Hf|Mo|Ta|Ti,5
1737,CrHfMoTaW,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,High,Cr|Hf|Mo|Ta|W,5
1738,CrHfMoTiV,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Low,Cr|Hf|Mo|Ti|V,5
1739,CrHfMoTiZr,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,High,Cr|Hf|Mo|Ti|Zr,5
1740,CrHfMoVZr,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Low,Cr|Hf|Mo|V|Zr,5
1741,CrHfNbTaTi,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,High,Cr|Hf|Nb|Ta|Ti,5
1742,CrHfNbTaW,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,High,Cr|Hf|Nb|Ta|W,5
1743,CrHfNbTiV,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Low,Cr|Hf|Nb|Ti|V,5
1744,CrHfNbTiZr,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,High,Cr|Hf|Nb|Ti|Zr,5
1745,CrHfNbVZr,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Low,Cr|Hf|Nb|V|Zr,5
1746,CrHfTaTiV,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,High,Cr|Hf|Ta|Ti|V,5
1747,CrHfTaTiZr,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,High,Cr|Hf|Ta|Ti|Zr,5
1748,CrHfTaVZr,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,Low,Cr|Hf|Ta|V|Zr,5
1749,CrHfTiVW,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,High,Cr|Hf|Ti|V|W,5
1750,CrHfTiWZr,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,High,Cr|Hf|Ti|W|Zr,5
1751,CrMoNbTaTi,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,High,Cr|Mo|Nb|Ta|Ti,5
1752,CrMoNbTaW,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Low,Cr|Mo|Nb|Ta|W,5
1753,CrMoNbTiV,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,High,Cr|Mo|Nb|Ti|V,5
1754,CrMoNbTiZr,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,High,Cr|Mo|Nb|Ti|Zr,5
1755,CrMoNbVZr,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Low,Cr|Mo|Nb|V|Zr,5
1756,CrMoTaTiV,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,High,Cr|Mo|Ta|Ti|V,5
1757,CrMoTaTiZr,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,Low,Cr|Mo|Ta|Ti|Zr,5
1758,CrMoTaVZr,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,Low,Cr|Mo|Ta|V|Zr,5
1759,CrMoTiVW,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,High,Cr|Mo|Ti|V|W,5
1760,CrMoTiWZr,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Low,Cr|Mo|Ti|W|Zr,5
1761,CrNbTaTiV,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,High,Cr|Nb|Ta|Ti|V,5
1762,CrNbTaTiZr,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,High,Cr|Nb|Ta|Ti|Zr,5
1763,CrNbTaVZr,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,Low,Cr|Nb|Ta|V|Zr,5
1764,CrNbTiVW,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,High,Cr|Nb|Ti|V|W,5
1765,CrNbTiWZr,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Low,Cr|Nb|Ti|W|Zr,5
1766,CrTaTiVW,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,High,Cr|Ta|Ti|V|W,5
1767,CrTaTiWZr,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,Low,Cr|Ta|Ti|W|Zr,5
1768,CrTiVWZr,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,Low,Cr|Ti|V|W|Zr,5
1769,HfMoNbTaV,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,High,Hf|Mo|Nb|Ta|V,5
1770,HfMoNbTaZr,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,High,Hf|Mo|Nb|Ta|Zr,5
1771,HfMoNbTiW,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,High,Hf|Mo|Nb|Ti|W,5
1772,HfMoNbVW,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,High,Hf|Mo|Nb|V|W,5
1773,HfMoNbWZr,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,High,Hf|Mo|Nb|W|Zr,5
1774,HfMoTaTiW,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,High,Hf|Mo|Ta|Ti|W,5
1775,HfMoTaVW,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,High,Hf|Mo|Ta|V|W,5
1776,HfMoTaWZr,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,High,Hf|Mo|Ta|W|Zr,5
1777,HfMoTiVZr,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,High,Hf|Mo|Ti|V|Zr,5
1778,HfMoVWZr,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,High,Hf|Mo|V|W|Zr,5
1779,HfNbTaTiW,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,High,Hf|Nb|Ta|Ti|W,5
1780,HfNbTaVW,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,High,Hf|Nb|Ta|V|W,5
1781,HfNbTaWZr,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,High,Hf|Nb|Ta|W|Zr,5
1782,HfNbTiVZr,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,High,Hf|Nb|Ti|V|Zr,5
1783,HfNbVWZr,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,High,Hf|Nb|V|W|Zr,5
1784,HfTaTiVZr,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,Low,Hf|Ta|Ti|V|Zr,5
1785,HfTaVWZr,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,High,Hf|Ta|V|W|Zr,5
1786,MoNbReTaW,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,High,Mo|Nb|Re|Ta|W,5
1787,MoNbTaTiW,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,High,Mo|Nb|Ta|Ti|W,5
1788,MoNbTaVW,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,High,Mo|Nb|Ta|V|W,5
1789,MoNbTaWZr,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,High,Mo|Nb|Ta|W|Zr,5
1790,MoNbTiVZr,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,High,Mo|Nb|Ti|V|Zr,5
1791,MoNbVWZr,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Low,Mo|Nb|V|W|Zr,5
1792,MoTaTiVZr,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,High,Mo|Ta|Ti|V|Zr,5
1793,MoTaVWZr,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Low,Mo|Ta|V|W|Zr,5
1794,NbReTaTiV,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,High,Nb|Re|Ta|Ti|V,5
1795,NbTaTiVZr,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,Low,Nb|Ta|Ti|V|Zr,5
1796,NbTaVWZr,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Low,Nb|Ta|V|W|Zr,5
1797,TaTiVWZr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,Low,Ta|Ti|V|W|Zr,5
